state_abbr,county_name,combined_fips,votes_dem_2016,votes_gop_2016,total_votes_2016,per_dem_2016,per_gop_2016,diff_2016,per_point_diff_2016,FIPS,total_votes_2012,votes_dem_2012,votes_gop_2012,county_fips,state_fips,per_dem_2012,per_gop_2012,diff_2012,per_point_diff_2012
AL,Autauga County,1001,5908,18110,24661,0.239568549531649,0.73435789302948,12202,-0.494789343497831,1001,23909,6354,17366,1,1,0.265757664477812,0.726337362499477,11012,-0.460579698021666
AL,Baldwin County,1003,18409,72780,94090,0.195653098097566,0.773514719948985,54371,-0.577861621851419,1003,84988,18329,65772,3,1,0.215665741045795,0.773897491410552,47443,-0.558231750364757
AL,Barbour County,1005,4848,5431,10390,0.46660250240616,0.522714148219442,583,-0.056111645813282,1005,11459,5873,5539,5,1,0.512522907758094,0.483375512697443,334,0.029147395060651
AL,Bibb County,1007,1874,6733,8748,0.214220393232739,0.769661636945588,4859,-0.555441243712849,1007,8391,2200,6131,7,1,0.262185675128113,0.730663806459302,3931,-0.468478131331188
AL,Blount County,1009,2150,22808,25384,0.084699023006618,0.898518751969745,20658,-0.813819728963126,1009,23980,2961,20741,9,1,0.12347789824854,0.864929107589658,17780,-0.741451209341118
AL,Bullock County,1011,3530,1139,4701,0.750904062965327,0.242288874707509,2391,0.508615188257817,1011,5318,4058,1250,11,1,0.763068822865739,0.235050770966529,2808,0.52801805189921
AL,Butler County,1013,3716,4891,8685,0.427864133563615,0.563154864709269,1175,-0.135290731145653,1013,9483,4367,5081,13,1,0.460508277971106,0.535800906886007,714,-0.0752926289149
AL,Calhoun County,1015,13197,32803,47376,0.278558763931104,0.692396994258696,19606,-0.413838230327592,1015,46240,15500,30272,15,1,0.335207612456747,0.654671280276817,14772,-0.319463667820069
AL,Chambers County,1017,5763,7803,13778,0.418275511685295,0.566337639715488,2040,-0.148062128030193,1017,14562,6853,7596,17,1,0.470608432907568,0.521631644004944,743,-0.051023211097377
AL,Cherokee County,1019,1524,8809,10503,0.145101399600114,0.838712748738456,7285,-0.693611349138341,1019,9761,2126,7494,19,1,0.217805552709763,0.767749206023973,5368,-0.54994365331421
AL,Chilton County,1021,2909,15068,18255,0.159353601752944,0.825417693782525,12159,-0.666064092029581,1021,17434,3391,13910,21,1,0.194504990248939,0.797866238384765,10519,-0.603361248135827
AL,Choctaw County,1023,3109,4102,7268,0.427765547605944,0.564391854705559,993,-0.136626307099615,1023,7965,3785,4150,23,1,0.475204017576899,0.521029504080352,365,-0.045825486503453
AL,Clarke County,1025,5712,7109,12936,0.441558441558442,0.549551638837353,1397,-0.107993197278912,1025,13827,6317,7463,25,1,0.456859767122297,0.539741086280466,1146,-0.082881319158169
AL,Clay County,1027,1234,5230,6572,0.18776628119294,0.795800365185636,3996,-0.608034083992696,1027,6640,1770,4802,27,1,0.266566265060241,0.723192771084337,3032,-0.456626506024096
AL,Cleburne County,1029,684,5738,6532,0.104715248009798,0.878444580526638,5054,-0.77372933251684,1029,6302,971,5269,29,1,0.154078070453824,0.836083782926055,4298,-0.682005712472231
AL,Coffee County,1031,4194,15825,20513,0.204455711012529,0.771461999707503,11631,-0.567006288694974,1031,19715,4899,14638,31,1,0.248490996703018,0.742480344915039,9739,-0.493989348212021
AL,Colbert County,1033,7296,16718,24626,0.296272232599691,0.678875984731585,9422,-0.382603752131893,1033,23374,9160,13931,33,1,0.39188842303414,0.596004107127578,4771,-0.204115684093437
AL,Conecuh County,1035,3069,3413,6543,0.469050894085282,0.521626165367568,344,-0.052575271282286,1035,7013,3551,3434,35,1,0.506345358619706,0.489662056181377,117,0.016683302438329
AL,Coosa County,1037,1780,3376,5223,0.340800306337354,0.646371816963431,1596,-0.305571510626077,1037,5243,2188,3028,37,1,0.417318329200839,0.577531947358383,840,-0.160213618157543
AL,Covington County,1039,2379,13222,15818,0.150398280440005,0.835883171070932,10843,-0.685484890630927,1039,15415,3155,12148,39,1,0.204670775218943,0.78806357444048,8993,-0.583392799221537
AL,Crenshaw County,1041,1663,4511,6252,0.265994881637876,0.721529110684581,2848,-0.455534229046705,1041,6411,2048,4326,41,1,0.319450943690532,0.674777725783809,2278,-0.355326782093277
AL,Cullman County,1043,3730,32734,37278,0.100059016041633,0.878105048554107,29004,-0.778046032512474,1043,33178,4855,27930,43,1,0.146331906685153,0.841822894689252,23075,-0.695490988004099
AL,Dale County,1045,4408,13798,18617,0.236772842026105,0.741150561314927,9390,-0.504377719288822,1045,18551,5283,13105,45,1,0.284782491509892,0.706430920166029,7822,-0.421648428656137
AL,Dallas County,1047,12826,5784,18730,0.684783769353978,0.308809396689802,7042,0.375974372664175,1047,20936,14599,6284,47,1,0.697315628582346,0.300152846771112,8315,0.397162781811234
AL,DeKalb County,1049,3682,21779,26086,0.141148508778655,0.834892279383577,18097,-0.693743770604922,1049,23842,5235,18316,49,1,0.219570505830048,0.768224142269944,13081,-0.548653636439896
AL,Elmore County,1051,8436,27619,36905,0.228586912342501,0.748380978187238,19183,-0.519794065844736,1051,35440,8940,26223,51,1,0.252257336343115,0.739926636568849,17283,-0.487669300225734
AL,Escambia County,1053,4698,10282,15213,0.308814829422205,0.675869322290147,5584,-0.367054492867942,1053,14832,5476,9263,53,1,0.369201725997842,0.624528047464941,3787,-0.255326321467098
AL,Etowah County,1055,10350,32132,43474,0.238073331186456,0.739108432626397,21782,-0.501035101439941,1055,42490,12792,29102,55,1,0.301059072722994,0.684914097434691,16310,-0.383855024711697
AL,Fayette County,1057,1358,6705,8196,0.165690580771108,0.818081991215227,5347,-0.652391410444119,1057,7912,1803,6034,57,1,0.227881698685541,0.762639029322548,4231,-0.534757330637007
AL,Franklin County,1059,2197,9466,11955,0.183772480133835,0.791802593057298,7269,-0.608030112923463,1059,10859,3171,7567,59,1,0.292015839395893,0.696841329772539,4396,-0.404825490376646
AL,Geneva County,1061,1522,9967,11659,0.130542928209967,0.854876061411785,8445,-0.724333133201818,1061,11318,2039,9173,61,1,0.180155504506096,0.810478883194911,7134,-0.630323378688814
AL,Greene County,1063,4006,838,4862,0.823940765117236,0.172357054709996,3168,0.65158371040724,1063,5328,4514,799,63,1,0.847222222222222,0.149962462462463,3715,0.69725975975976
AL,Hale County,1065,4772,3172,8010,0.595755305867665,0.396004993757803,1600,0.199750312109863,1065,8628,5401,3205,65,1,0.625985164580436,0.371464997681966,2196,0.25452016689847
AL,Henry County,1067,2286,5623,8017,0.285144068853686,0.701384557814644,3337,-0.416240488960958,1067,8700,3046,5605,67,1,0.350114942528736,0.644252873563218,2559,-0.294137931034483
AL,Houston County,1069,10547,30567,42030,0.250939804901261,0.727266238401142,20020,-0.476326433499881,1069,41843,12348,29214,69,1,0.295103123581005,0.698181296752145,16866,-0.40307817317114
AL,Jackson County,1071,3663,16643,20785,0.176232860235747,0.80072167428434,12980,-0.624488814048593,1071,20555,5817,14422,71,1,0.282996837752372,0.70162977377767,8605,-0.418632936025298
AL,Jefferson County,1073,151581,130614,290111,0.522493114704372,0.45022077756445,20967,0.072272337139922,1073,303424,159658,141413,73,1,0.526187776840329,0.466057398228222,18245,0.060130378612107
AL,Lamar County,1075,1035,5819,6931,0.149329101139807,0.839561390852691,4784,-0.690232289712884,1075,7159,1643,5453,75,1,0.229501327000978,0.761698561251571,3810,-0.532197234250594
AL,Lauderdale County,1077,9877,27735,38813,0.254476592894133,0.71458016643908,17858,-0.460103573544946,1077,36908,12504,23902,77,1,0.338788338571583,0.647610274195296,11398,-0.308821935623713
AL,Lawrence County,1079,3611,10732,14623,0.246939752444779,0.733912329891267,7121,-0.486972577446488,1079,14079,5055,8855,79,1,0.359045386746218,0.628950919809646,3800,-0.269905533063428
AL,Lee County,1081,20987,34321,57668,0.363928001664701,0.595148089061525,13334,-0.231220087396823,1081,54115,21274,32062,81,1,0.393125750716068,0.592478979950106,10788,-0.199353229234039
AL,Limestone County,1083,9340,28824,39400,0.237055837563452,0.731573604060914,19484,-0.494517766497462,1083,35406,9809,25263,83,1,0.277043438965147,0.713523131672598,15454,-0.436479692707451
AL,Lowndes County,1085,4882,1751,6676,0.731276213301378,0.262282804074296,3131,0.468993409227082,1085,7519,5747,1754,85,1,0.764330363080197,0.233275701556058,3993,0.531054661524139
AL,Macon County,1087,7237,1394,8748,0.827274805669867,0.159350708733425,5843,0.667924096936443,1087,10385,9045,1322,87,1,0.870967741935484,0.127298988926336,7723,0.743668753009148
AL,Madison County,1089,62435,89199,159473,0.391508280398563,0.559336063158027,26764,-0.167827782759464,1089,154632,61802,90679,89,1,0.399671478089917,0.586418076465415,28877,-0.186746598375498
AL,Marengo County,1091,5607,5224,10948,0.512148337595908,0.47716477895506,383,0.034983558640848,1091,11509,6154,5321,91,1,0.534711964549483,0.462333825701625,833,0.072378138847858
AL,Marion County,1093,1432,11273,12912,0.11090458488228,0.873063816604709,9841,-0.762159231722429,1093,12104,2249,9696,93,1,0.185806345009914,0.801057501652346,7447,-0.615251156642432
AL,Marshall County,1095,4913,29217,34965,0.140511940511941,0.835607035607035,24304,-0.695095095095095,1095,32455,6271,25785,95,1,0.193221383454013,0.794484671083038,19514,-0.601263287629025
AL,Mobile County,1097,68429,91087,163387,0.418815450433633,0.557492334151432,22658,-0.138676883717799,1097,174189,78417,94566,97,1,0.450183421456005,0.542893064430016,16149,-0.092709642974011
